repeat,method,noise_mult,pi_s,rank,mape,aic,rss,beta_ranks,beta_dim
2,baseline,10,0.1,"[9, 9, 11]",0.9030280269765355,680.4127253538037,18.919858585000245,"(8, 7, 9)",504.0
2,baseline,10,0.1,"[10, 10, 11]",1.0553086044019713,766.9341613457007,24.100582791601287,"(8, 8, 9)",576.0
2,baseline,10,0.3,"[2, 2, 3]",0.07245457937415983,-130.49005319642436,0.09944330926969433,"(2, 2, 2)",8.0
2,baseline,10,0.3,"[3, 3, 4]",0.049601229477001456,-159.33165158953815,0.044800878674103206,"(3, 3, 3)",27.0
2,baseline,10,0.3,"[4, 4, 5]",0.03690274294027036,-165.75203267148294,0.02836685542513307,"(4, 3, 4)",48.0
2,baseline,10,0.3,"[5, 5, 6]",0.2950309685121344,130.6844549186452,1.667636879303272,"(4, 5, 5)",100.0
2,baseline,10,0.3,"[6, 6, 7]",0.10031438895723452,44.01572773424628,0.17094651695218602,"(5, 5, 6)",150.0
2,baseline,10,0.3,"[7, 7, 9]",1.9823344092576547,515.4112305556354,80.6555143383737,"(6, 6, 7)",252.0
2,baseline,10,0.3,"[8, 8, 9]",0.5777434427750261,502.41247287078437,6.297847328889204,"(7, 7, 8)",392.0
2,baseline,10,0.3,"[9, 9, 11]",1.7471455132610643,818.7158556367016,57.12628026541841,"(8, 8, 9)",576.0
2,baseline,10,0.3,"[10, 10, 11]",0.36319813478566776,630.7018532983499,2.4885433890082758,"(8, 8, 9)",576.0
3,clean,0,0.0,"[2, 2, 3]",0.049965086417916714,-180.3365949238628,0.043328561229541145,"(2, 2, 2)",8.0
3,clean,0,0.0,"[3, 3, 4]",0.038054713478892256,-199.0138223543943,0.0268659111570094,"(3, 3, 2)",18.0
3,clean,0,0.0,"[4, 4, 5]",0.03420237990538539,-207.3629640001126,0.023375907056552295,"(3, 3, 2)",18.0
3,clean,0,0.0,"[5, 5, 6]",0.18283324646345336,50.95787333777998,0.6162913574660531,"(4, 4, 5)",80.0
3,clean,0,0.0,"[6, 6, 7]",1.6148507761245827,395.6209274451275,59.96026687362359,"(5, 5, 6)",150.0
3,clean,0,0.0,"[7, 7, 9]",9.814864208023359,710.8502393277757,2095.408892639568,"(6, 6, 7)",252.0
